score,segment_count,cumulative_count,rank,percentile,province,year,subject_type,total_exam_count,batch_line
697,19,19,19,4.316141460400538e-05,广东省,2025,物理类,440208,445
696,13,32,32,7.26929088067459e-05,广东省,2025,物理类,440208,445
695,7,39,39,8.859448260822157e-05,广东省,2025,物理类,440208,445
694,8,47,47,0.00010676770980990804,广东省,2025,物理类,440208,445
693,10,57,57,0.00012948424381201614,广东省,2025,物理类,440208,445
692,12,69,69,0.00015674408461454584,广东省,2025,物理类,440208,445
691,9,78,78,0.00017718896521644315,广东省,2025,物理类,440208,445
690,9,87,87,0.00019763384581834043,广东省,2025,物理类,440208,445
689,18,105,105,0.00023852360702213498,广东省,2025,物理类,440208,445
688,28,133,133,0.00030212990222803766,广东省,2025,物理类,440208,445
687,17,150,150,0.0003407480100316214,广东省,2025,物理类,440208,445
686,26,176,176,0.0003998109984371025,广东省,2025,物理类,440208,445
685,29,205,205,0.00046568894704321595,广东省,2025,物理类,440208,445
684,32,237,237,0.0005383818558499619,广东省,2025,物理类,440208,445
683,29,266,266,0.0006042598044560753,广东省,2025,物理类,440208,445
682,29,295,295,0.0006701377530621888,广东省,2025,物理类,440208,445
681,35,330,330,0.0007496456220695671,广东省,2025,物理类,440208,445
680,47,377,377,0.0008564133318794752,广东省,2025,物理类,440208,445
679,34,411,411,0.0009336495474866427,广东省,2025,物理类,440208,445
678,51,462,462,0.001049503870897394,广东省,2025,物理类,440208,445
677,48,510,510,0.0011585432341075128,广东省,2025,物理类,440208,445
676,50,560,560,0.0012721259041180532,广东省,2025,物理类,440208,445
675,82,642,642,0.0014584014829353397,广东省,2025,物理类,440208,445
674,79,721,721,0.0016378621015519935,广东省,2025,物理类,440208,445
673,69,790,790,0.0017946061861665395,广东省,2025,物理类,440208,445
672,80,870,870,0.001976338458183404,广东省,2025,物理类,440208,445
671,66,936,936,0.0021262675825973174,广东省,2025,物理类,440208,445
670,67,1003,1003,0.0022784683604114416,广东省,2025,物理类,440208,445
669,94,1097,1097,0.002492003780031258,广东省,2025,物理类,440208,445
668,85,1182,1182,0.0026850943190491767,广东省,2025,物理类,440208,445
667,97,1279,1279,0.0029054446988696254,广东省,2025,物理类,440208,445
666,97,1376,1376,0.0031257950786900738,广东省,2025,物理类,440208,445
665,96,1472,1472,0.0033438738051103116,广东省,2025,物理类,440208,445
664,106,1578,1578,0.0035846690655326574,广东省,2025,物理类,440208,445
663,123,1701,1701,0.003864082433758587,广东省,2025,物理类,440208,445
662,124,1825,1825,0.004145767455384727,广东省,2025,物理类,440208,445
661,123,1948,1948,0.004425180823610657,广东省,2025,物理类,440208,445
660,141,2089,2089,0.004745483953040381,广东省,2025,物理类,440208,445
659,143,2232,2232,0.005070330389270527,广东省,2025,物理类,440208,445
658,140,2372,2372,0.00538836186530004,广东省,2025,物理类,440208,445
657,157,2529,2529,0.005745011449133137,广东省,2025,物理类,440208,445
656,168,2697,2697,0.006126649220368553,广东省,2025,物理类,440208,445
655,148,2845,2845,0.006462853923599753,广东省,2025,物理类,440208,445
654,198,3043,3043,0.006912641296841493,广东省,2025,物理类,440208,445
653,187,3230,3230,0.007337440482680914,广东省,2025,物理类,440208,445
652,153,3383,3383,0.007685003452913168,广东省,2025,物理类,440208,445
651,202,3585,3585,0.008143877439755752,广东省,2025,物理类,440208,445
650,207,3792,3792,0.00861410969359939,广东省,2025,物理类,440208,445
