score,segment_count,cumulative_count,rank,percentile,province,year,subject_type,total_exam_count,batch_line
696,19,19,19,4.130434782608696e-05,广东省,2026,物理类,460000,445
696,13,33,33,7.17391304347826e-05,广东省,2026,物理类,460000,445
695,7,40,40,8.695652173913044e-05,广东省,2026,物理类,460000,445
694,8,49,49,0.00010652173913043479,广东省,2026,物理类,460000,445
693,10,59,59,0.00012826086956521738,广东省,2026,物理类,460000,445
692,12,72,72,0.0001565217391304348,广东省,2026,物理类,460000,445
691,9,81,81,0.00017608695652173914,广东省,2026,物理类,460000,445
690,9,90,90,0.0001956521739130435,广东省,2026,物理类,460000,445
689,18,109,109,0.00023695652173913044,广东省,2026,物理类,460000,445
688,28,138,138,0.0003,广东省,2026,物理类,460000,445
687,17,156,156,0.0003391304347826087,广东省,2026,物理类,460000,445
686,26,183,183,0.00039782608695652173,广东省,2026,物理类,460000,445
685,29,214,214,0.00046521739130434784,广东省,2026,物理类,460000,445
684,32,247,247,0.0005369565217391304,广东省,2026,物理类,460000,445
683,29,277,277,0.0006021739130434783,广东省,2026,物理类,460000,445
682,29,308,308,0.0006695652173913044,广东省,2026,物理类,460000,445
681,35,344,344,0.0007478260869565218,广东省,2026,物理类,460000,445
680,47,393,393,0.0008543478260869565,广东省,2026,物理类,460000,445
679,34,429,429,0.0009326086956521739,广东省,2026,物理类,460000,445
678,51,482,482,0.0010478260869565218,广东省,2026,物理类,460000,445
677,48,532,532,0.0011565217391304348,广东省,2026,物理类,460000,445
676,50,585,585,0.0012717391304347826,广东省,2026,物理类,460000,445
675,82,670,670,0.0014565217391304347,广东省,2026,物理类,460000,445
674,79,753,753,0.0016369565217391304,广东省,2026,物理类,460000,445
673,69,825,825,0.0017934782608695651,广东省,2026,物理类,460000,445
672,80,909,909,0.001976086956521739,广东省,2026,物理类,460000,445
671,66,978,978,0.002126086956521739,广东省,2026,物理类,460000,445
670,67,1048,1048,0.0022782608695652174,广东省,2026,物理类,460000,445
669,94,1146,1146,0.002491304347826087,广东省,2026,物理类,460000,445
668,85,1235,1235,0.002684782608695652,广东省,2026,物理类,460000,445
667,97,1336,1336,0.0029043478260869565,广东省,2026,物理类,460000,445
666,97,1437,1437,0.003123913043478261,广东省,2026,物理类,460000,445
665,96,1538,1538,0.003343478260869565,广东省,2026,物理类,460000,445
664,106,1648,1648,0.003582608695652174,广东省,2026,物理类,460000,445
663,123,1777,1777,0.0038630434782608697,广东省,2026,物理类,460000,445
662,124,1907,1907,0.004145652173913043,广东省,2026,物理类,460000,445
661,123,2035,2035,0.004423913043478261,广东省,2026,物理类,460000,445
660,141,2182,2182,0.004743478260869565,广东省,2026,物理类,460000,445
659,143,2332,2332,0.0050695652173913044,广东省,2026,物理类,460000,445
658,140,2478,2478,0.00538695652173913,广东省,2026,物理类,460000,445
657,157,2642,2642,0.005743478260869565,广东省,2026,物理类,460000,445
656,168,2818,2818,0.006126086956521739,广东省,2026,物理类,460000,445
655,148,2972,2972,0.006460869565217391,广东省,2026,物理类,460000,445
654,198,3179,3179,0.006910869565217391,广东省,2026,物理类,460000,445
653,187,3375,3375,0.007336956521739131,广东省,2026,物理类,460000,445
652,153,3535,3535,0.007684782608695652,广东省,2026,物理类,460000,445
651,202,3746,3746,0.008143478260869565,广东省,2026,物理类,460000,445
650,207,3962,3962,0.00861304347826087,广东省,2026,物理类,460000,445
649,214,4186,4186,0.0091,广东省,2026,物理类,460000,445
648,220,4416,4416,0.0096,广东省,2026,物理类,460000,445
647,212,4637,4637,0.010080434782608696,广东省,2026,物理类,460000,445
646,237,4885,4885,0.010619565217391304,广东省,2026,物理类,460000,445
645,249,5145,5145,0.011184782608695652,广东省,2026,物理类,460000,445
644,242,5398,5398,0.011734782608695652,广东省,2026,物理类,460000,445
643,282,5692,5692,0.012373913043478261,广东省,2026,物理类,460000,445
642,286,5991,5991,0.01302391304347826,广东省,2026,物理类,460000,445
641,270,6273,6273,0.01363695652173913,广东省,2026,物理类,460000,445
640,291,6578,6578,0.0143,广东省,2026,物理类,460000,445
639,308,6899,6899,0.014997826086956522,广东省,2026,物理类,460000,445
638,356,7271,7271,0.015806521739130434,广东省,2026,物理类,460000,445
637,358,7645,7645,0.016619565217391306,广东省,2026,物理类,460000,445
636,342,8003,8003,0.01739782608695652,广东省,2026,物理类,460000,445
635,356,8375,8375,0.018206521739130434,广东省,2026,物理类,460000,445
634,345,8735,8735,0.01898913043478261,广东省,2026,物理类,460000,445
633,370,9122,9122,0.019830434782608694,广东省,2026,物理类,460000,445
632,372,9511,9511,0.02067608695652174,广东省,2026,物理类,460000,445
631,372,9899,9899,0.021519565217391304,广东省,2026,物理类,460000,445
630,376,10292,10292,0.02237391304347826,广东省,2026,物理类,460000,445
629,392,10702,10702,0.023265217391304348,广东省,2026,物理类,460000,445
628,428,11149,11149,0.02423695652173913,广东省,2026,物理类,460000,445
627,391,11558,11558,0.02512608695652174,广东省,2026,物理类,460000,445
626,431,12008,12008,0.026104347826086956,广东省,2026,物理类,460000,445
625,472,12501,12501,0.02717608695652174,广东省,2026,物理类,460000,445
624,468,12990,12990,0.02823913043478261,广东省,2026,物理类,460000,445
623,476,13488,13488,0.029321739130434784,广东省,2026,物理类,460000,445
622,468,13977,13977,0.030384782608695652,广东省,2026,物理类,460000,445
621,497,14496,14496,0.03151304347826087,广东省,2026,物理类,460000,445
620,505,15024,15024,0.03266086956521739,广东省,2026,物理类,460000,445
619,517,15564,15564,0.03383478260869565,广东省,2026,物理类,460000,445
618,513,16100,16100,0.035,广东省,2026,物理类,460000,445
617,563,16689,16689,0.03628043478260869,广东省,2026,物理类,460000,445
616,522,17234,17234,0.037465217391304345,广东省,2026,物理类,460000,445
615,558,17817,17817,0.038732608695652176,广东省,2026,物理类,460000,445
614,571,18414,18414,0.0400304347826087,广东省,2026,物理类,460000,445
613,583,19023,19023,0.041354347826086955,广东省,2026,物理类,460000,445
612,613,19664,19664,0.04274782608695652,广东省,2026,物理类,460000,445
611,597,20287,20287,0.044102173913043476,广东省,2026,物理类,460000,445
610,621,20936,20936,0.04551304347826087,广东省,2026,物理类,460000,445
609,646,21611,21611,0.046980434782608695,广东省,2026,物理类,460000,445
608,640,22280,22280,0.04843478260869565,广东省,2026,物理类,460000,445
607,723,23036,23036,0.05007826086956522,广东省,2026,物理类,460000,445
606,663,23728,23728,0.05158260869565218,广东省,2026,物理类,460000,445
