school_code,school_name,major_group_code,province,year,batch,subject_type,plan_count,admission_count,min_admission_score,min_admission_rank
10001,北京大学,201,广东省,2024,本科批,历史类,24,24,662,32
10002,中国人民大学,201,广东省,2024,本科批,历史类,49,49,648,150
10002,中国人民大学,205,广东省,2024,本科批,历史类,5,5,659,53
10003,清华大学,201,广东省,2024,本科批,历史类,4,5,665,19
10004,北京交通大学,201,广东省,2024,本科批,历史类,11,11,594,3847
10006,北京航空航天大学,"院
201",广东省,2024,本科批,历史类,8,8,625,818
10007,北京理工大学,201,广东省,2024,本科批,历史类,20,20,611,1765
10008,北京科技大学,201,广东省,2024,本科批,历史类,2,2,593,3913
10008,"试
北京科技大学",202,广东省,2024,本科批,历史类,2,2,597,3312
10008,北京科技大学,203,广东省,2024,本科批,历史类,2,2,596,3469
10010,北京化工大学,201,广东省,2024,本科批,历史类,12,12,577,6981
10012,"考
北京服装学院",201,广东省,2024,本科批,历史类,4,4,513,31068
10015,北京印刷学院,201,广东省,2024,本科批,历史类,2,2,531,22341
10019,中国农业大学(中外合作办学),201,广东省,2024,本科批,历史类,6,6,583,5770
10022,"育
北京林业大学",201,广东省,2024,本科批,历史类,13,13,575,7382
10022,北京林业大学,202,广东省,2024,本科批,历史类,4,4,580,6292
10022,北京林业大学,205,广东省,2024,本科批,历史类,3,3,576,7111
10022,"教
北京林业大学",206,广东省,2024,本科批,历史类,2,2,580,6282
10026,北京中医药大学,201,广东省,2024,本科批,历史类,4,4,582,5882
10027,北京师范大学,201,广东省,2024,本科批,历史类,16,16,636,378
10027,"省
北京师范大学",211,广东省,2024,本科批,历史类,2,2,623,920
10028,首都师范大学,202,广东省,2024,本科批,历史类,8,8,584,5545
10030,北京外国语大学,201,广东省,2024,本科批,历史类,5,5,617,1282
10030,北京外国语大学,202,广东省,2024,本科批,历史类,13,13,604,2497
10031,北京第二外国语学院,201,广东省,2024,本科批,历史类,3,3,572,8079
10031,北京第二外国语学院,202,广东省,2024,本科批,历史类,18,18,554,13173
10031,北京第二外国语学院,"教
203",广东省,2024,本科批,历史类,3,3,575,7462
10032,北京语言大学,201,广东省,2024,本科批,历史类,25,25,570,8625
10032,北京语言大学,202,广东省,2024,本科批,历史类,3,3,579,6469
10033,"省
中国传媒大学",202,广东省,2024,本科批,历史类,24,24,597,3381
10033,中国传媒大学(中外合作办学),203,广东省,2024,本科批,历史类,5,5,591,4345
10033,"东
中国传媒大学",209,广东省,2024,本科批,历史类,4,4,594,3819
10034,中央财经大学,201,广东省,2024,本科批,历史类,35,35,608,2019
10036,对外经济贸易大学,202,广东省,2024,本科批,历史类,38,38,605,2385
10037,"广
北京物资学院",201,广东省,2024,本科批,历史类,2,2,532,21577
10038,首都经济贸易大学,201,广东省,2024,本科批,历史类,4,4,571,8355
10043,北京体育大学,201,广东省,2024,本科批,历史类,4,4,574,7703
10043,北京体育大学,202,广东省,2024,本科批,历史类,2,2,574,7733
10043,北京体育大学(中外合作办学),203,广东省,2024,本科批,历史类,4,4,521,27258
10046,中国音乐学院,201,广东省,2024,本科批,历史类,1,1,566,9685
