score,segment_count,cumulative_count,rank,percentile,province,year,subject_type,total_exam_count,batch_line
700,6,6,6,1.5029457737164844e-05,广东省,2022,物理类,399216,445
699,3,9,9,2.2544186605747266e-05,广东省,2022,物理类,399216,445
698,1,10,10,2.5049096228608073e-05,广东省,2022,物理类,399216,445
697,1,11,11,2.755400585146888e-05,广东省,2022,物理类,399216,445
696,2,13,13,3.2563825097190495e-05,广东省,2022,物理类,399216,445
695,0,13,13,3.2563825097190495e-05,广东省,2022,物理类,399216,445
694,4,17,17,4.2583463588633724e-05,广东省,2022,物理类,399216,445
693,5,22,22,5.510801170293776e-05,广东省,2022,物理类,399216,445
692,3,25,25,6.262274057152018e-05,广东省,2022,物理类,399216,445
691,2,27,27,6.763255981724179e-05,广东省,2022,物理类,399216,445
690,10,37,37,9.268165604584986e-05,广东省,2022,物理类,399216,445
689,4,41,41,0.00010270129453729309,广东省,2022,物理类,399216,445
688,5,46,46,0.00011522584265159714,广东省,2022,物理类,399216,445
687,7,53,53,0.00013276021001162278,广东省,2022,物理类,399216,445
686,10,63,63,0.00015780930624023084,广东省,2022,物理类,399216,445
685,10,73,73,0.00018285840246883893,广东省,2022,物理类,399216,445
684,13,86,86,0.00021542222756602941,广东省,2022,物理类,399216,445
683,11,97,97,0.0002429762334174983,广东省,2022,物理类,399216,445
682,12,109,109,0.000273035148891828,广东省,2022,物理类,399216,445
681,16,125,125,0.0003131137028576009,广东省,2022,物理类,399216,445
680,11,136,136,0.0003406677087090698,广东省,2022,物理类,399216,445
679,17,153,153,0.0003832511722977035,广东省,2022,物理类,399216,445
678,19,172,172,0.00043084445513205883,广东省,2022,物理类,399216,445
677,22,194,194,0.0004859524668349966,广东省,2022,物理类,399216,445
676,30,224,224,0.0005610997555208208,广东省,2022,物理类,399216,445
675,27,251,251,0.0006287323153380626,广东省,2022,物理类,399216,445
674,30,281,281,0.0007038796040238868,广东省,2022,物理类,399216,445
673,41,322,322,0.0008065808985611799,广东省,2022,物理类,399216,445
672,31,353,353,0.0008842330968698649,广东省,2022,物理类,399216,445
671,32,385,385,0.0009643902048014107,广东省,2022,物理类,399216,445
670,38,423,423,0.0010595767704701215,广东省,2022,物理类,399216,445
669,33,456,456,0.001142238788024528,广东省,2022,物理类,399216,445
668,46,502,502,0.0012574646306761253,广东省,2022,物理类,399216,445
667,59,561,561,0.001405254298424913,广东省,2022,物理类,399216,445
666,54,615,615,0.0015405194180593965,广东省,2022,物理类,399216,445
665,67,682,682,0.0017083483627910706,广东省,2022,物理类,399216,445
664,48,730,730,0.0018285840246883892,广东省,2022,物理类,399216,445
663,64,794,794,0.001988898240551481,广东省,2022,物理类,399216,445
662,78,872,872,0.002184281191134624,广东省,2022,物理类,399216,445
661,70,942,942,0.0023596248647348803,广东省,2022,物理类,399216,445
660,80,1022,1022,0.002560017634563745,广东省,2022,物理类,399216,445
659,107,1129,1129,0.0028280429642098515,广东省,2022,物理类,399216,445
658,94,1223,1223,0.0030635044687587674,广东省,2022,物理类,399216,445
657,96,1319,1319,0.0033039757925534046,广东省,2022,物理类,399216,445
656,107,1426,1426,0.003572001122199511,广东省,2022,物理类,399216,445
655,100,1526,1526,0.003822492084485592,广东省,2022,物理类,399216,445
654,122,1648,1648,0.00412809105847461,广东省,2022,物理类,399216,445
653,123,1771,1771,0.00443619494208649,广东省,2022,物理类,399216,445
652,135,1906,1906,0.004774357741172699,广东省,2022,物理类,399216,445
651,139,2045,2045,0.0051225401787503505,广东省,2022,物理类,399216,445
650,166,2211,2211,0.005538355176145245,广东省,2022,物理类,399216,445
649,142,2353,2353,0.005894052342591479,广东省,2022,物理类,399216,445
648,129,2482,2482,0.006217185683940523,广东省,2022,物理类,399216,445
647,156,2638,2638,0.006607951585106809,广东省,2022,物理类,399216,445
646,173,2811,2811,0.007041300949861729,广东省,2022,物理类,399216,445
645,144,2955,2955,0.007402007935553685,广东省,2022,物理类,399216,445
644,197,3152,3152,0.007895475131257264,广东省,2022,物理类,399216,445
643,201,3353,3353,0.008398961965452286,广东省,2022,物理类,399216,445
642,226,3579,3579,0.00896507154021883,广东省,2022,物理类,399216,445
641,220,3799,3799,0.009516151657248206,广东省,2022,物理类,399216,445
640,207,4006,4006,0.010034667949180393,广东省,2022,物理类,399216,445
639,237,4243,4243,0.010628331529798404,广东省,2022,物理类,399216,445
638,239,4482,4482,0.011227004929662138,广东省,2022,物理类,399216,445
637,239,4721,4721,0.011825678329525871,广东省,2022,物理类,399216,445
636,284,5005,5005,0.01253707266241834,广东省,2022,物理类,399216,445
635,275,5280,5280,0.013225922808705062,广东省,2022,物理类,399216,445
634,284,5564,5564,0.013937317141597532,广东省,2022,物理类,399216,445
633,266,5830,5830,0.014603623101278506,广东省,2022,物理类,399216,445
632,306,6136,6136,0.015370125445873913,广东省,2022,物理类,399216,445
631,324,6460,6460,0.016181716163680814,广东省,2022,物理类,399216,445
630,343,6803,6803,0.01704090016432207,广东省,2022,物理类,399216,445
