school_code,school_name,major_group_code,province,year,batch,subject_type,plan_count,admission_count,min_admission_score,min_admission_rank
11833,上海杉达学院(中外合作办学),203,广东省,2023,本科批,历史类,2,2,479,54196
11834,黄河科技学院,201,广东省,2023,本科批,历史类,15,15,481,53232
11835,上海政法学院,201,广东省,2023,本科批,历史类,3,3,565,10575
11835,上海政法学院,202,广东省,2023,本科批,历史类,29,29,571,8743
11835,上海政法学院,"院
205",广东省,2023,本科批,历史类,4,4,583,6095
11837,桂林旅游学院,201,广东省,2023,本科批,历史类,2,2,497,41589
11837,桂林旅游学院,202,广东省,2023,本科批,历史类,13,13,494,43710
11837,"试
桂林旅游学院",203,广东省,2023,本科批,历史类,1,1,496,42111
11837,桂林旅游学院(中外合作办学),211,广东省,2023,本科批,历史类,4,4,480,53687
11838,"考
贺州学院",201,广东省,2023,本科批,历史类,16,16,495,43261
11843,九江学院,201,广东省,2023,本科批,历史类,10,10,494,43571
11845,广东工业大学,200,广东省,2023,本科批,历史类,20,20,536,20557
11845,"育
广东工业大学",201,广东省,2023,本科批,历史类,45,45,537,20513
11845,广东工业大学,202,广东省,2023,本科批,历史类,344,344,532,22542
11845,广东工业大学,203,广东省,2023,本科批,历史类,126,126,548,16034
11845,"教
广东工业大学",204,广东省,2023,本科批,历史类,193,193,534,21394
11845,广东工业大学(国际班),261,广东省,2023,本科批,历史类,59,59,515,30549
11845,"省
广东工业大学(地方专项)",271,广东省,2023,本科批,历史类,60,60,525,25512
11845,广东工业大学,282,广东省,2023,本科批,历史类,177,177,532,22485
11846,广东外语外贸大学,201,广东省,2023,本科批,历史类,599,599,529,23907
11846,广东外语外贸大学,203,广东省,2023,本科批,历史类,202,202,561,11493
11846,广东外语外贸大学,204,广东省,2023,本科批,历史类,308,308,548,15848
11846,广东外语外贸大学,206,广东省,2023,本科批,历史类,203,203,577,7471
11846,广东外语外贸大学,"教
207",广东省,2023,本科批,历史类,39,39,562,11361
11846,广东外语外贸大学(内地澳门合作办学,) 208,广东省,2023,本科批,历史类,40,40,525,25566
11846,广东外语外贸大学(地方专项),209,广东省,2023,本科批,历史类,78,78,525,25821
11847,"省
佛山科学技术学院",219,广东省,2023,本科批,历史类,384,384,510,33798
11847,佛山科学技术学院,220,广东省,2023,本科批,历史类,50,50,539,19484
11847,佛山科学技术学院,221,广东省,2023,本科批,历史类,20,20,510,33678
11847,"东
佛山科学技术学院",222,广东省,2023,本科批,历史类,40,40,531,22905
11847,佛山科学技术学院,223,广东省,2023,本科批,历史类,12,12,514,31533
11847,佛山科学技术学院,224,广东省,2023,本科批,历史类,20,20,535,21232
11847,"广
佛山科学技术学院",225,广东省,2023,本科批,历史类,35,35,511,33232
11847,佛山科学技术学院,226,广东省,2023,本科批,历史类,20,20,507,35185
11847,佛山科学技术学院,227,广东省,2023,本科批,历史类,2,2,517,29552
11847,佛山科学技术学院,228,广东省,2023,本科批,历史类,5,5,502,38415
11847,佛山科学技术学院,229,广东省,2023,本科批,历史类,30,30,516,30406
11847,佛山科学技术学院(联合培养),230,广东省,2023,本科批,历史类,20,20,492,44840
11847,佛山科学技术学院(地方专项),231,广东省,2023,本科批,历史类,39,20,510,33930
12044,上海第二工业大学,201,广东省,2023,本科批,历史类,6,6,518,29386
12048,南京特殊教育师范学院,201,广东省,2023,本科批,历史类,3,3,513,32195
12050,上海商学院,201,广东省,2023,本科批,历史类,4,4,513,31746
12056,南通理工学院,201,广东省,2023,本科批,历史类,34,34,459,71208
12059,广东培正学院,203,广东省,2023,本科批,历史类,2037,2037,459,70757
12059,广东培正学院(学分互认),205,广东省,2023,本科批,历史类,23,23,443,86512
12107,贵州警察学院,201,广东省,2023,本科批,历史类,5,5,511,33387
12121,南方医科大学,"院
205",广东省,2023,本科批,历史类,174,174,555,13410
