score,segment_count,cumulative_count,rank,percentile,province,year,subject_type,total_exam_count,batch_line
672,19,19,19,6.333333333333333e-05,广东省,2026,历史类,300000,435
671,4,23,23,7.666666666666667e-05,广东省,2026,历史类,300000,435
670,2,25,25,8.333333333333333e-05,广东省,2026,历史类,300000,435
669,8,33,33,0.00011,广东省,2026,历史类,300000,435
668,6,40,40,0.00013333333333333334,广东省,2026,历史类,300000,435
667,4,44,44,0.00014666666666666666,广东省,2026,历史类,300000,435
666,5,49,49,0.00016333333333333334,广东省,2026,历史类,300000,435
665,6,55,55,0.00018333333333333334,广东省,2026,历史类,300000,435
664,4,59,59,0.00019666666666666666,广东省,2026,历史类,300000,435
663,13,72,72,0.00024,广东省,2026,历史类,300000,435
662,10,83,83,0.00027666666666666665,广东省,2026,历史类,300000,435
661,8,91,91,0.00030333333333333335,广东省,2026,历史类,300000,435
660,6,97,97,0.00032333333333333335,广东省,2026,历史类,300000,435
659,11,108,108,0.00036,广东省,2026,历史类,300000,435
658,13,122,122,0.00040666666666666667,广东省,2026,历史类,300000,435
657,6,128,128,0.00042666666666666667,广东省,2026,历史类,300000,435
656,14,142,142,0.0004733333333333333,广东省,2026,历史类,300000,435
655,13,156,156,0.00052,广东省,2026,历史类,300000,435
654,8,164,164,0.0005466666666666667,广东省,2026,历史类,300000,435
653,9,173,173,0.0005766666666666666,广东省,2026,历史类,300000,435
652,13,186,186,0.00062,广东省,2026,历史类,300000,435
651,21,208,208,0.0006933333333333333,广东省,2026,历史类,300000,435
650,16,224,224,0.0007466666666666666,广东省,2026,历史类,300000,435
649,25,250,250,0.0008333333333333334,广东省,2026,历史类,300000,435
648,23,274,274,0.0009133333333333334,广东省,2026,历史类,300000,435
647,23,297,297,0.00099,广东省,2026,历史类,300000,435
646,33,331,331,0.0011033333333333333,广东省,2026,历史类,300000,435
645,35,367,367,0.0012233333333333334,广东省,2026,历史类,300000,435
644,39,407,407,0.0013566666666666666,广东省,2026,历史类,300000,435
643,45,453,453,0.00151,广东省,2026,历史类,300000,435
642,40,494,494,0.0016466666666666667,广东省,2026,历史类,300000,435
641,42,537,537,0.00179,广东省,2026,历史类,300000,435
640,29,567,567,0.00189,广东省,2026,历史类,300000,435
639,47,616,616,0.0020533333333333332,广东省,2026,历史类,300000,435
638,40,657,657,0.00219,广东省,2026,历史类,300000,435
637,56,714,714,0.00238,广东省,2026,历史类,300000,435
636,39,754,754,0.002513333333333333,广东省,2026,历史类,300000,435
635,57,813,813,0.00271,广东省,2026,历史类,300000,435
634,48,862,862,0.002873333333333333,广东省,2026,历史类,300000,435
633,72,936,936,0.00312,广东省,2026,历史类,300000,435
632,56,993,993,0.00331,广东省,2026,历史类,300000,435
631,48,1043,1043,0.0034766666666666665,广东省,2026,历史类,300000,435
630,91,1136,1136,0.0037866666666666665,广东省,2026,历史类,300000,435
629,74,1212,1212,0.00404,广东省,2026,历史类,300000,435
628,76,1290,1290,0.0043,广东省,2026,历史类,300000,435
627,81,1373,1373,0.004576666666666666,广东省,2026,历史类,300000,435
626,79,1454,1454,0.004846666666666667,广东省,2026,历史类,300000,435
625,77,1533,1533,0.00511,广东省,2026,历史类,300000,435
624,92,1628,1628,0.0054266666666666664,广东省,2026,历史类,300000,435
623,96,1726,1726,0.005753333333333333,广东省,2026,历史类,300000,435
622,96,1825,1825,0.006083333333333333,广东省,2026,历史类,300000,435
621,112,1940,1940,0.006466666666666667,广东省,2026,历史类,300000,435
620,121,2064,2064,0.00688,广东省,2026,历史类,300000,435
619,120,2187,2187,0.00729,广东省,2026,历史类,300000,435
618,114,2304,2304,0.00768,广东省,2026,历史类,300000,435
617,121,2429,2429,0.008096666666666667,广东省,2026,历史类,300000,435
616,106,2537,2537,0.008456666666666666,广东省,2026,历史类,300000,435
615,125,2666,2666,0.008886666666666666,广东省,2026,历史类,300000,435
614,156,2826,2826,0.00942,广东省,2026,历史类,300000,435
613,143,2973,2973,0.00991,广东省,2026,历史类,300000,435
612,139,3116,3116,0.010386666666666667,广东省,2026,历史类,300000,435
611,145,3264,3264,0.01088,广东省,2026,历史类,300000,435
610,156,3425,3425,0.011416666666666667,广东省,2026,历史类,300000,435
609,169,3598,3598,0.011993333333333333,广东省,2026,历史类,300000,435
608,171,3774,3774,0.01258,广东省,2026,历史类,300000,435
607,178,3956,3956,0.013186666666666666,广东省,2026,历史类,300000,435
606,190,4151,4151,0.013836666666666667,广东省,2026,历史类,300000,435
605,191,4348,4348,0.014493333333333334,广东省,2026,历史类,300000,435
604,200,4553,4553,0.015176666666666666,广东省,2026,历史类,300000,435
603,209,4767,4767,0.01589,广东省,2026,历史类,300000,435
602,224,4997,4997,0.016656666666666667,广东省,2026,历史类,300000,435
601,201,5204,5204,0.017346666666666666,广东省,2026,历史类,300000,435
600,226,5436,5436,0.01812,广东省,2026,历史类,300000,435
599,226,5668,5668,0.018893333333333335,广东省,2026,历史类,300000,435
598,230,5904,5904,0.01968,广东省,2026,历史类,300000,435
597,229,6139,6139,0.020463333333333333,广东省,2026,历史类,300000,435
596,243,6389,6389,0.021296666666666665,广东省,2026,历史类,300000,435
595,270,6666,6666,0.02222,广东省,2026,历史类,300000,435
594,247,6919,6919,0.023063333333333335,广东省,2026,历史类,300000,435
593,259,7185,7185,0.02395,广东省,2026,历史类,300000,435
592,274,7467,7467,0.02489,广东省,2026,历史类,300000,435
591,275,7749,7749,0.02583,广东省,2026,历史类,300000,435
590,315,8072,8072,0.026906666666666666,广东省,2026,历史类,300000,435
589,304,8385,8385,0.02795,广东省,2026,历史类,300000,435
588,309,8702,8702,0.029006666666666667,广东省,2026,历史类,300000,435
587,322,9032,9032,0.030106666666666667,广东省,2026,历史类,300000,435
586,320,9361,9361,0.031203333333333333,广东省,2026,历史类,300000,435
585,314,9683,9683,0.03227666666666667,广东省,2026,历史类,300000,435
584,363,10056,10056,0.03352,广东省,2026,历史类,300000,435
583,346,10411,10411,0.034703333333333336,广东省,2026,历史类,300000,435
582,359,10780,10780,0.03593333333333333,广东省,2026,历史类,300000,435
581,365,11155,11155,0.03718333333333333,广东省,2026,历史类,300000,435
580,346,11510,11510,0.03836666666666667,广东省,2026,历史类,300000,435
579,376,11896,11896,0.03965333333333333,广东省,2026,历史类,300000,435
578,343,12248,12248,0.040826666666666664,广东省,2026,历史类,300000,435
577,358,12616,12616,0.04205333333333333,广东省,2026,历史类,300000,435
576,363,12988,12988,0.043293333333333336,广东省,2026,历史类,300000,435
575,359,13357,13357,0.04452333333333333,广东省,2026,历史类,300000,435
574,393,13760,13760,0.04586666666666667,广东省,2026,历史类,300000,435
573,360,14130,14130,0.0471,广东省,2026,历史类,300000,435
572,401,14542,14542,0.048473333333333334,广东省,2026,历史类,300000,435
571,368,14919,14919,0.04973,广东省,2026,历史类,300000,435
570,352,15281,15281,0.050936666666666665,广东省,2026,历史类,300000,435
569,421,15713,15713,0.05237666666666667,广东省,2026,历史类,300000,435
568,423,16147,16147,0.053823333333333334,广东省,2026,历史类,300000,435
567,441,16600,16600,0.05533333333333333,广东省,2026,历史类,300000,435
566,452,17064,17064,0.05688,广东省,2026,历史类,300000,435
565,432,17508,17508,0.05836,广东省,2026,历史类,300000,435
564,458,17978,17978,0.05992666666666667,广东省,2026,历史类,300000,435
563,441,18431,18431,0.06143666666666667,广东省,2026,历史类,300000,435
562,456,18899,18899,0.06299666666666667,广东省,2026,历史类,300000,435
561,484,19396,19396,0.06465333333333333,广东省,2026,历史类,300000,435
560,496,19905,19905,0.06635,广东省,2026,历史类,300000,435
559,470,20388,20388,0.06796,广东省,2026,历史类,300000,435
558,471,20871,20871,0.06957,广东省,2026,历史类,300000,435
557,486,21370,21370,0.07123333333333333,广东省,2026,历史类,300000,435
556,487,21870,21870,0.0729,广东省,2026,历史类,300000,435
555,486,22369,22369,0.07456333333333333,广东省,2026,历史类,300000,435
554,512,22895,22895,0.07631666666666667,广东省,2026,历史类,300000,435
553,512,23420,23420,0.07806666666666667,广东省,2026,历史类,300000,435
552,486,23919,23919,0.07973,广东省,2026,历史类,300000,435
551,498,24431,24431,0.08143666666666667,广东省,2026,历史类,300000,435
550,539,24984,24984,0.08328,广东省,2026,历史类,300000,435
549,512,25510,25510,0.08503333333333334,广东省,2026,历史类,300000,435
548,566,26091,26091,0.08697,广东省,2026,历史类,300000,435
547,562,26668,26668,0.08889333333333334,广东省,2026,历史类,300000,435
546,539,27221,27221,0.09073666666666666,广东省,2026,历史类,300000,435
545,563,27799,27799,0.09266333333333333,广东省,2026,历史类,300000,435
544,545,28359,28359,0.09453,广东省,2026,历史类,300000,435
543,600,28975,28975,0.09658333333333333,广东省,2026,历史类,300000,435
542,596,29587,29587,0.09862333333333333,广东省,2026,历史类,300000,435
541,616,30219,30219,0.10073,广东省,2026,历史类,300000,435
540,598,30833,30833,0.10277666666666667,广东省,2026,历史类,300000,435
539,616,31466,31466,0.10488666666666667,广东省,2026,历史类,300000,435
538,610,32092,32092,0.10697333333333334,广东省,2026,历史类,300000,435
537,586,32694,32694,0.10898,广东省,2026,历史类,300000,435
536,629,33339,33339,0.11113,广东省,2026,历史类,300000,435
535,661,34018,34018,0.11339333333333333,广东省,2026,历史类,300000,435
534,648,34683,34683,0.11561,广东省,2026,历史类,300000,435
533,600,35299,35299,0.11766333333333333,广东省,2026,历史类,300000,435
532,642,35958,35958,0.11986,广东省,2026,历史类,300000,435
531,647,36623,36623,0.12207666666666667,广东省,2026,历史类,300000,435
530,630,37270,37270,0.12423333333333333,广东省,2026,历史类,300000,435
529,698,37986,37986,0.12662,广东省,2026,历史类,300000,435
528,635,38638,38638,0.12879333333333334,广东省,2026,历史类,300000,435
527,669,39325,39325,0.13108333333333333,广东省,2026,历史类,300000,435
526,682,40025,40025,0.13341666666666666,广东省,2026,历史类,300000,435
525,709,40753,40753,0.13584333333333334,广东省,2026,历史类,300000,435
524,680,41451,41451,0.13817,广东省,2026,历史类,300000,435
523,708,42178,42178,0.14059333333333332,广东省,2026,历史类,300000,435
522,671,42867,42867,0.14289,广东省,2026,历史类,300000,435
521,661,43546,43546,0.14515333333333333,广东省,2026,历史类,300000,435
520,700,44264,44264,0.14754666666666666,广东省,2026,历史类,300000,435
519,722,45006,45006,0.15002,广东省,2026,历史类,300000,435
518,712,45737,45737,0.15245666666666666,广东省,2026,历史类,300000,435
517,702,46457,46457,0.15485666666666667,广东省,2026,历史类,300000,435
516,741,47218,47218,0.15739333333333333,广东省,2026,历史类,300000,435
515,737,47975,47975,0.15991666666666668,广东省,2026,历史类,300000,435
514,688,48681,48681,0.16227,广东省,2026,历史类,300000,435
513,745,49446,49446,0.16482,广东省,2026,历史类,300000,435
512,721,50186,50186,0.16728666666666667,广东省,2026,历史类,300000,435
511,783,50990,50990,0.16996666666666665,广东省,2026,历史类,300000,435
510,825,51837,51837,0.17279,广东省,2026,历史类,300000,435
509,738,52595,52595,0.17531666666666668,广东省,2026,历史类,300000,435
508,764,53379,53379,0.17793,广东省,2026,历史类,300000,435
507,814,54215,54215,0.18071666666666666,广东省,2026,历史类,300000,435
506,783,55019,55019,0.18339666666666668,广东省,2026,历史类,300000,435
505,789,55829,55829,0.18609666666666666,广东省,2026,历史类,300000,435
504,779,56629,56629,0.18876333333333334,广东省,2026,历史类,300000,435
503,806,57456,57456,0.19152,广东省,2026,历史类,300000,435
502,792,58270,58270,0.19423333333333334,广东省,2026,历史类,300000,435
501,829,59121,59121,0.19707,广东省,2026,历史类,300000,435
500,769,59910,59910,0.1997,广东省,2026,历史类,300000,435
499,813,60745,60745,0.20248333333333332,广东省,2026,历史类,300000,435
498,850,61618,61618,0.20539333333333334,广东省,2026,历史类,300000,435
497,845,62485,62485,0.20828333333333332,广东省,2026,历史类,300000,435
496,828,63335,63335,0.21111666666666667,广东省,2026,历史类,300000,435
495,885,64244,64244,0.21414666666666668,广东省,2026,历史类,300000,435
494,812,65078,65078,0.21692666666666666,广东省,2026,历史类,300000,435
493,939,66042,66042,0.22014,广东省,2026,历史类,300000,435
492,773,66835,66835,0.22278333333333333,广东省,2026,历史类,300000,435
491,876,67735,67735,0.22578333333333334,广东省,2026,历史类,300000,435
490,944,68704,68704,0.22901333333333335,广东省,2026,历史类,300000,435
489,911,69639,69639,0.23213,广东省,2026,历史类,300000,435
