school_code,school_name,major_group_code,province,year,batch,subject_type,plan_count,admission_count,min_admission_score,min_admission_rank
10001,北京大学,203,广东省,2024,本科批,物理类,24,28,689,85
10002,中国人民大学,202,广东省,2024,本科批,物理类,28,28,663,1215
10002,中国人民大学,203,广东省,2024,本科批,物理类,21,21,667,831
10003,清华大学,202,广东省,2024,本科批,物理类,10,10,692,53
10003,清华大学,203,广东省,2024,本科批,物理类,49,51,688,97
10004,北京交通大学,"院
202",广东省,2024,本科批,物理类,15,15,594,25890
10004,北京交通大学,204,广东省,2024,本科批,物理类,74,74,615,13369
10004,北京交通大学(中外合作办学),205,广东省,2024,本科批,物理类,5,5,606,18214
10004,"试
北京交通大学(中外合作办学)",206,广东省,2024,本科批,物理类,2,2,606,18307
10004,北京交通大学,207,广东省,2024,本科批,物理类,7,7,627,8570
10005,北京工业大学,201,广东省,2024,本科批,物理类,4,4,610,16132
10005,"考
北京工业大学",202,广东省,2024,本科批,物理类,5,5,600,21717
10005,北京工业大学,203,广东省,2024,本科批,物理类,3,3,617,12677
10005,北京工业大学,204,广东省,2024,本科批,物理类,4,4,613,14430
10006,"育
北京航空航天大学",202,广东省,2024,本科批,物理类,108,108,657,1822
10006,北京航空航天大学(中外合作办学),206,广东省,2024,本科批,物理类,7,7,641,4528
10007,北京理工大学(中外合作办学),202,广东省,2024,本科批,物理类,2,2,611,15502
10007,"教
北京理工大学",203,广东省,2024,本科批,物理类,57,59,656,1983
10007,北京理工大学(珠海校区),204,广东省,2024,本科批,物理类,10,10,665,1031
10008,"省
北京科技大学",204,广东省,2024,本科批,物理类,4,4,614,13928
10008,北京科技大学,205,广东省,2024,本科批,物理类,19,19,613,14438
10008,北京科技大学,206,广东省,2024,本科批,物理类,44,44,612,14724
10010,北京化工大学,203,广东省,2024,本科批,物理类,51,51,601,21313
10010,北京化工大学(中外合作办学),204,广东省,2024,本科批,物理类,8,8,589,29569
10011,北京工商大学,201,广东省,2024,本科批,物理类,10,10,568,49203
10011,"教
北京工商大学",202,广东省,2024,本科批,物理类,15,15,550,70559
10012,北京服装学院,202,广东省,2024,本科批,物理类,1,1,538,87266
10012,北京服装学院,203,广东省,2024,本科批,物理类,9,9,529,100249
10013,"省
北京邮电大学",201,广东省,2024,本科批,物理类,8,8,651,2681
10013,北京邮电大学,202,广东省,2024,本科批,物理类,108,108,628,8242
10015,北京印刷学院,202,广东省,2024,本科批,物理类,2,2,543,79037
10015,"东
北京印刷学院",203,广东省,2024,本科批,物理类,3,3,540,83275
10016,北京建筑大学,201,广东省,2024,本科批,物理类,2,2,558,60428
10016,北京建筑大学,202,广东省,2024,本科批,物理类,2,2,569,47773
10016,"广
北京建筑大学",203,广东省,2024,本科批,物理类,4,4,567,49883
10017,北京石油化工学院,201,广东省,2024,本科批,物理类,2,2,514,123780
10017,北京石油化工学院,202,广东省,2024,本科批,物理类,4,4,550,70044
10017,北京石油化工学院,203,广东省,2024,本科批,物理类,3,3,544,78746
10019,中国农业大学,202,广东省,2024,本科批,物理类,7,7,610,16237
10019,中国农业大学(中外合作办学),203,广东省,2024,本科批,物理类,7,7,593,27048
10019,中国农业大学,204,广东省,2024,本科批,物理类,69,69,610,15801
10022,北京林业大学,207,广东省,2024,本科批,物理类,17,17,580,37424
10022,北京林业大学,211,广东省,2024,本科批,物理类,5,5,590,29366
10022,北京林业大学,212,广东省,2024,本科批,物理类,12,12,578,39221
10022,北京林业大学,215,广东省,2024,本科批,物理类,27,27,594,26094
10022,北京林业大学(中外合作办学),216,广东省,2024,本科批,物理类,5,5,573,44688
10022,北京林业大学,217,广东省,2024,本科批,物理类,2,2,581,36675
10022,北京林业大学,219,广东省,2024,本科批,物理类,8,8,592,27772
10026,北京中医药大学,203,广东省,2024,本科批,物理类,2,2,583,34968
10026,北京中医药大学,204,广东省,2024,本科批,物理类,28,29,592,27086
10027,北京师范大学,204,广东省,2024,本科批,物理类,8,8,637,5671
10027,北京师范大学,206,广东省,2024,本科批,物理类,27,27,642,4352
10028,首都师范大学,203,广东省,2024,本科批,物理类,10,10,594,25639
10029,首都体育学院,202,广东省,2024,本科批,物理类,5,5,539,84624
10030,北京外国语大学,204,广东省,2024,本科批,物理类,6,6,619,11520
10030,北京外国语大学,"院
205",广东省,2024,本科批,物理类,11,11,605,18756
10030,北京外国语大学,206,广东省,2024,本科批,物理类,2,2,612,14729
10030,北京外国语大学,207,广东省,2024,本科批,物理类,2,2,615,13205
10031,"试
北京第二外国语学院",204,广东省,2024,本科批,物理类,1,1,579,37918
10031,北京第二外国语学院,205,广东省,2024,本科批,物理类,9,9,551,68743
10032,北京语言大学,203,广东省,2024,本科批,物理类,16,16,560,58696
10032,"考
北京语言大学",204,广东省,2024,本科批,物理类,4,4,530,99398
10032,北京语言大学,205,广东省,2024,本科批,物理类,15,15,576,41271
10032,北京语言大学,206,广东省,2024,本科批,物理类,3,3,568,49380
10033,"育
中国传媒大学",204,广东省,2024,本科批,物理类,15,15,595,25017
10033,中国传媒大学(中外合作办学),205,广东省,2024,本科批,物理类,5,5,596,24675
10033,中国传媒大学,206,广东省,2024,本科批,物理类,31,31,604,19473
10033,"教
中国传媒大学(中外合作办学)",207,广东省,2024,本科批,物理类,12,12,580,37261
10033,中国传媒大学,208,广东省,2024,本科批,物理类,3,3,610,15867
10034,"省
中央财经大学",202,广东省,2024,本科批,物理类,63,63,614,13853
10034,中央财经大学(中外合作办学),203,广东省,2024,本科批,物理类,15,15,601,21505
10036,对外经济贸易大学,203,广东省,2024,本科批,物理类,35,35,611,15363
10037,北京物资学院,202,广东省,2024,本科批,物理类,2,2,546,76243
10037,北京物资学院,203,广东省,2024,本科批,物理类,3,3,546,75028
10041,中国人民公安大学,201,广东省,2024,本科批,物理类,3,3,608,17162
10043,"教
北京体育大学",204,广东省,2024,本科批,物理类,2,2,588,30768
10043,北京体育大学,205,广东省,2024,本科批,物理类,3,3,587,31463
10043,北京体育大学(中外合作办学),206,广东省,2024,本科批,物理类,2,2,547,74647
10043,"省
北京体育大学(中外合作办学)",207,广东省,2024,本科批,物理类,2,2,533,94685
10043,北京体育大学,208,广东省,2024,本科批,物理类,1,1,585,32762
10043,北京体育大学,209,广东省,2024,本科批,物理类,2,2,588,30620
10046,"东
中国音乐学院",202,广东省,2024,本科批,物理类,1,1,586,32552
10047,中央美术学院,203,广东省,2024,本科批,物理类,2,2,577,40208
10047,中央美术学院(中外合作办学),204,广东省,2024,本科批,物理类,4,4,577,39804
10047,"广
中央美术学院",205,广东省,2024,本科批,物理类,3,3,607,17794
10050,北京电影学院,202,广东省,2024,本科批,物理类,2,2,590,29195
10050,北京电影学院,203,广东省,2024,本科批,物理类,2,2,601,21271
10050,北京电影学院,209,广东省,2024,本科批,物理类,2,2,592,27700
10050,北京电影学院,210,广东省,2024,本科批,物理类,3,3,595,25117
10050,北京电影学院,211,广东省,2024,本科批,物理类,3,3,593,26790
10052,中央民族大学,205,广东省,2024,本科批,物理类,20,20,600,21985
10052,中央民族大学,206,广东省,2024,本科批,物理类,38,38,601,21410
10053,中国政法大学,205,广东省,2024,本科批,物理类,3,3,613,14448
10053,中国政法大学,206,广东省,2024,本科批,物理类,2,2,611,15372
10054,华北电力大学(北京),203,广东省,2024,本科批,物理类,14,14,590,29146
10054,华北电力大学(北京),204,广东省,2024,本科批,物理类,82,82,601,21168
10055,南开大学,202,广东省,2024,本科批,物理类,10,10,642,4387
10055,南开大学,203,广东省,2024,本科批,物理类,61,61,641,4434
10056,天津大学,203,广东省,2024,本科批,物理类,38,38,632,6799
10056,天津大学,204,广东省,2024,本科批,物理类,35,35,628,8065
10057,天津科技大学,203,广东省,2024,本科批,物理类,3,3,546,75328
10057,天津科技大学(中外合作办学),204,广东省,2024,本科批,物理类,3,3,537,88316
10057,天津科技大学,205,广东省,2024,本科批,物理类,43,43,532,96192
10057,天津科技大学(中外合作办学),206,广东省,2024,本科批,物理类,3,3,549,71700
10058,天津工业大学,202,广东省,2024,本科批,物理类,4,4,555,64137
10058,天津工业大学,"院
203",广东省,2024,本科批,物理类,2,2,576,40754
10058,天津工业大学,204,广东省,2024,本科批,物理类,38,38,561,56721
10058,天津工业大学,205,广东省,2024,本科批,物理类,12,12,556,63244
10058,"试
天津工业大学",206,广东省,2024,本科批,物理类,4,4,560,58401
10058,天津工业大学,207,广东省,2024,本科批,物理类,2,2,595,25421
10058,天津工业大学(中外合作办学),208,广东省,2024,本科批,物理类,6,6,572,45570
10059,"考
中国民航大学",205,广东省,2024,本科批,物理类,21,21,550,71000
10059,中国民航大学,208,广东省,2024,本科批,物理类,167,167,552,67555
10060,天津理工大学,201,广东省,2024,本科批,物理类,16,16,535,91606
10060,"育
天津理工大学(中外合作办学)",202,广东省,2024,本科批,物理类,8,8,537,88248
10060,天津理工大学,203,广东省,2024,本科批,物理类,71,71,544,77934
10060,天津理工大学(中外合作办学),204,广东省,2024,本科批,物理类,10,10,554,64963
